ParName   Value   Gradient
rec_dev(2014)      0.85334 -1.96467e-06
rec_dev(2015)    -0.192083  2.99747e-06
rec_dev(2016)     -1.05479  1.16416e-06
rec_dev(2017)    -0.902641  2.42973e-06
rec_dev(2018)    -0.644192  9.03745e-06
rec_dev(2019)     0.572979  1.25707e-05
rec_dev(2020)      -1.1569  1.16746e-07
rec_dev(2021)     -0.74998   6.9703e-07
rec_dev(2022)      1.63266  4.95539e-06
rec_dev_fut(2023)            0            0
rec_dev_fut(2024)            0            0
rec_dev_fut(2025)            0            0
rec_dev_fut(2026)            0            0
rec_dev_fut(2027)            0            0
rec_dev_fut(2028)            0            0
rec_dev_fut(2029)            0            0
rec_dev_fut(2030)            0            0
rec_dev_fut(2031)            0            0
rec_dev_fut(2032)            0            0
rec_dev_fut(2033)            0            0
